NetBeans	Vim	Description
Ctrl-Shift-o	?	go to file
Cmd-[	%	jump to matching bracket
PageDown	Ctrl-f	scroll window forward
PageUp	Ctrl-b	scroll window backward
Cmd-Left	0	move cursor to beginning of line
Cmd-Right	$	move cursor to end of line
Cmd-upArrow	gg	move cursor to beginning of file
Cmd-downArrow	G	move cursor to end of file
Cmd-Shift-b	?	go to source
Cmd-Alt-b	?	go to implementation
Ctrl-i	?	insert code
Alt-Enter	?	show hints
Cmd-/	?	toggle comment
Ctrl-g	:	go to line
Ctrl-space	?	show code completion popup
Ctrl-Alt-space	?	show all code completion popup
Cmd-Shift-space	?	show documentation popup
Cmd-Shift-i	?	fix all imports
Cmd-;	?	complete line (add ;)
