name	slug	feed
Functional Geekery	functional-geekery	https://www.functionalgeekery.com/feed/mp3/
Programming Throwdown	programming-throwdown	http://feeds.feedburner.com/ProgrammingThrowdown
Cognicast	cognicast	http://feeds.feedburner.com/cognicast
GitMinutes	gitminutes	http://feeds.gitminutes.com/gitminutes-podcast
Test And Code	test-and-code	http://pythontesting.net/feed/podcast/
Web Platform	web-platform	http://thewebplatform.libsyn.com/rss
Illegal Argument	illegal-argument	http://illegalargument.libsyn.com/rss
Software Engineering Daily	software-engineering-daily	http://softwareengineeringdaily.com/feed/podcast/
Java Pub House	java-pub-house	http://javapubhouse.libsyn.com/rss
Off-Heap	off-heap	http://offheap.libsyn.com/rss
Becoming a Data Scientist	becoming-a-data-scientist	http://www.becomingadatascientist.com/feed/podcast
Bike Shed	bike-shed	http://podcasts.thoughtbot.com/bikeshed.xml
Software Engineering Radio	se-radio	http://feeds.feedburner.com/se-radio
Scalawags	scalawags	http://thescalawags.libsyn.com/rss
NetBeans Community	netbeans-community	http://feeds.feedburner.com/oracle/netbeanspodcast
Changelog	changelog	http://feeds.feedburner.com/changelogshow
FLOSS Weekly	floss-weekly	http://leoville.tv/podcasts/floss.xml
Enterprise Java Newscast	enterprise-java-newscast	http://feeds.feedburner.com/enterprisejavanews
CodeNewbie	codenewbie	http://feeds.podtrac.com/q8s8ba9YtM6r
Developer Tea	developer-tea	http://feeds.feedburner.com/developertea
Talk Python To Me	talk-python-to-me	https://talkpython.fm/episodes/rss
Podcast.__init__	podcast-init	http://podcastinit.podbean.com/feed/
Beats, Rye & Types	beats-rye-types	http://beatsryetypes.com/feed.xml
Fragmented	fragmented	http://fragmentedpodcast.com/feed/
Android Developers Backstage	android-developers-backstage	http://feeds.feedburner.com/blogspot/AndroidDevelopersBackstage
Ruby Rogues	ruby-rogues	https://rubyrogues.com/feed/
Giant Robots	giant-robots	http://podcasts.thoughtbot.com/giantrobots.xml
JavaScript Jabber	javascript-jabber	http://feeds.feedwrench.com/JavaScriptJabber.rss
SolrCluster	solrcluster	http://solrcluster.podbean.com/feed/
Elixir Fountain	elixir-fountain	http://feeds.soundcloud.com/users/soundcloud:users:24638646/sounds.rss
R	r	https://r-podcast.org/categories/mp3.xml
R Talk	r-talk	http://feeds.feedburner.com/RTalkPodcast
Ship Show	ship-show	http://theshipshow.com/podcast.xml
RCE Cast	rce-cast	http://www.rce-cast.com/itunes
The Web Ahead	web-ahead	http://feeds.5by5.tv/webahead
Agile in 3 Minutes	agile-in-3-minutes	http://agilein3minutes.com/index.rss
Herding Code	herding-code	http://feeds.feedburner.com/herdingcode
ShopTalk	shoptalk	http://shoptalkshow.com/feed/podcast
NodeUp	nodeup	http://feeds.feedburner.com/NodeUp
Security Now	security-now	http://feeds.twit.tv/sn
WebDevRadio	webdevradio.com	http://feeds.feedburner.com/WebdevradioPodcastHome
PHP Town Hall	php-town-hall	http://phptownhall.com/itunes.rss
/dev/hell	dev-hell	http://feeds.feedburner.com/devhell-podcast
Hanselminutes	hanselminutes	http://hanselminutes.com/subscribe
.NET Rocks!	dotnet-rocks	http://www.pwop.com/feed.aspx?show=dotnetrocks
Hacker Public Radio	hacker-public-radio	http://hackerpublicradio.org/hpr_rss.php
The Command Line	cmdln	http://thecommandline.net/cmdln
vJUG	vjug	http://feeds.soundcloud.com/users/soundcloud:users:141924360/sounds.rss
Groovy	groovy	http://groovypodcast.podbean.com/feed/
Talking Machines	talking-machines	http://www.thetalkingmachines.com/blog/?format=RSS
Data Driven Security	data-driven-security	http://feeds.podtrac.com/PnZeAJHjYHk-
Data Stories	data-stories	http://datastori.es/feed/podcast/
Data Skeptic	data-skeptic	http://dataskeptic.libsyn.com/rss
Partially Derivative	partially-derivative	http://feeds.feedburner.com/PartiallyDerivative
Not So Standard Deviations	not-so-standard-deviations	http://feeds.soundcloud.com/users/soundcloud:users:174789515/sounds.rss
CppCast	cppcast	http://cppcast.libsyn.com/rss
Embedded	embedded	http://embedded.fm/episodes?format=rss
a16z	a16z	http://feeds.soundcloud.com/users/soundcloud:users:62921190/sounds.rss
UC Berkeley School of Information	uc-berkeley-school-of-information	http://www.ischool.berkeley.edu/itunes/feed
